"���""url""",org_name,intervention_sector,location,allocated_amount,first-year-of-funding,description,activities,contact_name,street address,street_address_2,city_province,postal_code,telephone,fax,email,email_link,org_web,org_web_link
http://www.centraide-mtl.org/en/agencies/acef-de-lest-de-montreal/,ACEF de l'Est de Montr̩al,"Income, housing and consumer services",Mercier-Ouest,"$135,240 ",1983,"ACEFs, or household economic cooperatives, help low-income individuals with budgeting and debt avoidance and also advocate for consumer rights. Three ways they do this are by","Three ways they do this are by:; Advising individuals on how to prepare and apply a budget, and following up to help with any debt problems they may encounter.; Offering courses, information sessions, awareness and prevention tools on budgeting issues, including credit, debt reduction, money savings tips and more.; In some cases, creating mutual aid funds that help people with low incomes to obtain small interest-free loans.",Maryse Bouchard,"5955, rue de Marseille",Montr̩al QC,H1N 1K6,,Tel : 514 257-6622,Fax : 514 257-7998,accueil@acefest.ca,mailto:accueil@acefest.ca,http://acefest.ca,http://acefest.ca/
http://www.centraide-mtl.org/en/agencies/123-go-saint-michel-femmes-relais/,"1,2,3 GO! Saint-Michel / Femmes-Relais",Refugees and newcomers,Saint-Michel,"$78,400 ",2010,"Promote the integration of immigrant parents and their young children in the Saint-Michel district through outreach, support and mediation services provided by women community outreach workers, while fostering the empowerment of project participants.","Recruitment and training of women community outreach workers, outreach, referral, support for families, language and cultural interpretation.",Dominique Perrault,"8640, 25e Avenue, app. 7",Montr̩al QC,H1Z 4B2,,Tel : 514 759-0663,,coordonnatricefemmesrelais@yahoo.ca,mailto:coordonnatricefemmesrelais@yahoo.ca,,
http://www.centraide-mtl.org/en/agencies/acces-benevolat/,Acc̬s B̩n̩volat,Volunteer work,Rosemont,"$161,695 ",1972,"Volunteer action centres promote volunteering and recruit, train and coordinate volunteers in their respective territories.",Centraide of Greater Montreal supports 17 agencies and points of service that promote volunteering.,Tatiana Carol,"that promote volunteering.; 2544, boul. Rosemont",Montr̩al QC,H1Y 1K4,,Tel : 514 523-6599,Fax : 514 523-7709,dg@accesbenevolat.org,mailto:dg@accesbenevolat.org,http://www.accesbenevolat.org,http://www.accesbenevolat.org/
http://www.centraide-mtl.org/en/agencies/acef-de-la-rive-sud/,ACEF de la Rive-Sud,"Income, housing and consumer services",Le Vieux-Longueuil,"$189,149 ",1975,"ACEFs, or household economic cooperatives, help low-income individuals with budgeting and debt avoidance and also advocate for consumer rights. Three ways they do this are by","Three ways they do this are by:; Advising individuals on how to prepare and apply a budget, and following up to help with any debt problems they may encounter.; Offering courses, information sessions, awareness and prevention tools on budgeting issues, including credit, debt reduction, money savings tips and more.; In some cases, creating mutual aid funds that help people with low incomes to obtain small interest-free loans.",Marie-��dith Trudel,"2010, chemin Chambly",Longueuil QC,J4J 3Y2,,Tel : 450 677-6394,Fax : 450 677-0101,acefrsm@consommateur.qc.ca,mailto:acefrsm@consommateur.qc.ca,http://www.acefrsm.com,http://www.acefrsm.com/
http://www.centraide-mtl.org/en/agencies/acef-du-nord-de-montreal/,ACEF du Nord de Montr̩al,"Income, housing and consumer services",Villeray,"$130,650 ",1984,"ACEFs, or household economic cooperatives, help low-income individuals with budgeting and debt avoidance and also advocate for consumer rights. Three ways they do this are by","Three ways they do this are by:; Advising individuals on how to prepare and apply a budget, and following up to help with any debt problems they may encounter.; Offering courses, information sessions, awareness and prevention tools on budgeting issues, including credit, debt reduction, money savings tips and more.; In some cases, creating mutual aid funds that help people with low incomes to obtain small interest-free loans.",Isabelle Mailloux-B̩��que,"7500, avenue de Ch̢teaubriand",Montr̩al QC,H2R 2M1,,Tel : 514 277-7959,Fax : 514 277-7730,info@acefnord.org,mailto:info@acefnord.org,http://www.acefnord.org,http://www.acefnord.org/
http://www.centraide-mtl.org/en/agencies/acef-du-sud-ouest-de-montreal/,ACEF du Sud-Ouest de Montr̩al,"Income, housing and consumer services",Ville-��mard/C̫te-Saint-Paul,"$188,205 ",1988,"ACEFs, or household economic cooperatives, help low-income individuals with budgeting and debt avoidance and also advocate for consumer rights. Three ways they do this are by","Three ways they do this are by:; Advising individuals on how to prepare and apply a budget, and following up to help with any debt problems they may encounter.; Offering courses, information sessions, awareness and prevention tools on budgeting issues, including credit, debt reduction, money savings tips and more.; In some cases, creating mutual aid funds that help people with low incomes to obtain small interest-free loans.",Marie-Claude Desjardins,"6734, boul. Monk",Montr̩al QC,H4E 3J1,,Tel : 514 362-1771,Fax : 514 362-0660,acefsom@consommateur.qc.ca,mailto:acefsom@consommateur.qc.ca,http://www.consommateur.qc.ca/acef-som,http://www.consommateur.qc.ca/acef-som
http://www.centraide-mtl.org/en/agencies/acef-de-lile-jesus/,ACEF Laval,"Income, housing and consumer services",Vimont,"$163,700 ",1998,"ACEFs, or household economic cooperatives, help low-income individuals with budgeting and debt avoidance and also advocate for consumer rights. Three ways they do this are by","Three ways they do this are by:; Advising individuals on how to prepare and apply a budget, and following up to help with any debt problems they may encounter.; Offering courses, information sessions, awareness and prevention tools on budgeting issues, including credit, debt reduction, money savings tips and more.; In some cases, creating mutual aid funds that help people with low incomes to obtain small interest-free loans.",Micheline C̫t̩,"1686, boul. des Laurentides",Bureau 103,Laval QC,H7M 2P4,Tel : 450 662-9428,Fax : 450 662-2647,info@aceflaval.com,mailto:info@aceflaval.com,http://www.aceflaval.com,http://www.aceflaval.com/
http://www.centraide-mtl.org/en/agencies/action-autonomie-le-collectif-pour-la-defense-des-droits-en-sante-mentale-de-montreal/,""" Action-autonomie "" - Le collectif pour la d̩fense des droits en sant̩ mentale de Montr̩al",Mental health,Rosemont,"$81,000 ",1991,"Help persons with mental health problems by advocating their rights, improving their quality of life, building their self-reliance and facilitating their social integration.","Newsletter, information meetings, seminars, thematic action weeks, rights awareness meetings.",Nicole Cloutier,"3958, rue Dandurand",3i̬me ̩tage,Montr̩al QC,H1X 1P7,Tel : 514 525-5060,Fax : 514 525-5580,lecollectif@actionautonomie.qc.ca,mailto:lecollectif@actionautonomie.qc.ca,http://www.actionautonomie.qc.ca,http://www.actionautonomie.qc.ca/
http://www.centraide-mtl.org/en/agencies/action-centre-ville-montreal/,Action centre-ville (Montr̩al),Seniors,Centre-ville,"$119,600 ",1987,"Offer a place of belonging and self-help to seniors in downtown Montreal in order to break their isolation, help them maintain their autonomy, and promote their community participation and individual and collective empowerment by encouraging them to get involved in the management of the agency.","Group activities, meals-on-wheels, community meals, newsletter, continuing education.",Yamina Bessar,"105, rue Ontario Est",Bureau 201,Montr̩al QC,H2X 1G9,Tel : 514 878-0847,Fax : 514 878-0452,info@acv-montreal.com,mailto:info@acv-montreal.com,http://www.acv-montreal.com,http://www.acv-montreal.com/
http://www.centraide-mtl.org/en/agencies/action-gardien-table-de-concertation-communautaire-de-pointe-saint-charles/,"Action-Gardien, table de concertation communautaire de Pointe-Saint-Charles",Neighbourhood life,Pointe-Saint-Charles,"$52,620 ",1997,"Neighbourhood Round Tables improve living conditions and the quality of life for local residents by addressing issues such as health, education, urban planning, the environment, safety, and social and community life. They bring together local social stakeholders, coordinate the establishment of various projects, and support the community agencies with their intervention strategies.",Centraide of Greater Montreal supports more than 35 Neighbourhood Round Tables.,Karine Triollet,".; 203 - 2390, rue de Ryde",Montr̩al QC,H3K 1R6,,Tel : 514 509-0795,Fax : 514 750-3405,info@actiongardien.org,mailto:info@actiongardien.org,http://www.actiongardien.org,http://www.actiongardien.org/
